Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,128.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Administrative,127.3,yes,no,no,yes,female,yes,19,no,0,6,8,6,14.0,0,0,6,8,6,12.28571429,0,16.2,0.3,-0.92,Graduate
married,Over 23 years old,2nd choice,Social Service,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,130.0,yes,no,no,yes,female,no,31,no,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,Holders of other higher courses,2nd choice,Veterinary Nursing,daytime,degree,130.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Unskilled Workers,Armed Forces,130.0,no,no,no,yes,female,no,34,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - special contingent (Madeira Island),2nd choice,Oral Hygiene,daytime,Secondary education,137.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Skilled Workers,122.7,yes,no,no,yes,female,yes,18,no,0,7,7,7,15.28571429,0,0,8,8,8,16.075,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,3rd choice,Tourism ,daytime,Secondary education,123.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,113.9,yes,no,no,yes,female,no,18,no,0,6,6,6,13.16666667,0,0,6,6,6,12.66666667,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,2nd choice,Management,daytime,Secondary education,156.0,Portuguese,Degree,Basic Ed 3rd Cycle,Technicians,Technicians,151.1,no,no,yes,yes,male,no,19,no,0,5,7,5,13.6,0,0,5,11,5,12.83333333,5,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,3rd choice,Journalism and Communication,daytime,Secondary education,133.1,Portuguese,Degree,Doctorate,Student,Intellectuals,125.8,yes,no,no,no,male,yes,22,no,0,4,8,0,0.0,0,0,4,8,0,0.0,0,7.6,2.6,0.32,Dropout
married,Change of course,2nd choice,Advertising and Marketing Management,daytime,Secondary education,100.0,Portuguese,Unknown,Unknown,Student,Student,128.2,no,no,no,yes,male,no,32,no,6,10,12,10,11.4,0,4,9,9,4,11.5,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,2nd choice,Management,daytime,Secondary education,140.0,Portuguese,Basic Ed 1st Cycle,Degree,Unskilled Workers,Intellectuals,135.1,no,no,no,yes,male,no,61,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,120.2,yes,no,no,yes,male,no,30,no,0,5,7,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,132.8,no,no,yes,no,male,no,45,no,0,5,9,0,0.0,0,0,5,11,0,0.0,0,12.4,0.5,1.79,Dropout
single,Technological specialization diploma holders,2nd choice,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Machine Operators,140.0,no,no,no,yes,male,no,20,no,0,6,7,6,13.57142857,0,0,6,6,6,12.66666667,0,12.4,0.5,1.79,Graduate
single,3rd phase - general contingent ,6th choice,Nursing,daytime,Secondary education,137.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Legislative/Executives,Armed Forces,129.3,no,no,no,yes,female,no,19,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,Transfer,2nd choice,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Degree,Secondary Education,Intellectuals,Unskilled Workers,108.2,yes,no,no,yes,male,no,26,no,4,10,14,4,11.25,0,4,11,11,4,12.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,5th choice,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Secondary Education,Secondary Education,Administrative,Other,125.4,yes,no,no,yes,male,no,19,no,0,5,6,3,13.33333333,0,0,5,5,1,11.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,2nd choice,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,140.2,no,no,no,yes,male,yes,19,no,0,6,6,6,12.0,0,0,6,7,6,11.66666667,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,4th choice,Journalism and Communication,daytime,Secondary education,115.0,Portuguese,Basic Ed 2nd Cycle,Secondary Education,Unskilled Workers,Administrative,116.1,yes,no,no,yes,male,no,19,no,0,6,6,6,12.5,0,0,6,7,5,13.0,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Management,daytime,Secondary education,150.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Services/Security/Sales,Services/Security/Sales,137.8,yes,no,no,yes,male,yes,19,no,0,5,6,5,13.2,0,0,5,6,5,12.66666667,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,4th choice,Advertising and Marketing Management,daytime,Secondary education,134.0,Portuguese,10th,7th (Old),Student,Student,128.4,yes,no,no,no,male,no,19,no,0,5,5,0,0.0,0,0,4,4,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,2nd choice,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,106.0,yes,no,no,no,male,no,28,no,0,5,7,3,11.66666667,0,0,5,8,2,11.5,1,7.6,2.6,0.32,Dropout
single,Change of course,2nd choice,Management,daytime,Secondary education,141.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,130.2,no,no,no,yes,male,no,24,no,10,15,16,15,13.46666667,1,10,14,14,14,13.64285714,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent ,2nd choice,Equinculture,daytime,Secondary education,133.0,Portuguese,Degree,Secondary Education,Intellectuals,Administrative,126.0,no,no,no,yes,male,no,18,no,0,5,7,3,13.66666667,0,0,5,5,5,13.2,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,3rd choice,Informatics Engineering,daytime,Secondary education,149.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Services/Security/Sales,Services/Security/Sales,141.0,no,no,no,yes,male,no,18,no,0,5,9,2,11.66666667,0,0,5,9,2,12.5,2,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education,Degree,Technicians,Skilled Workers,113.0,yes,no,no,yes,male,yes,18,no,0,6,7,6,11.66666667,0,0,6,12,5,10.2,0,12.4,0.5,1.79,Graduate
single,Technological specialization diploma holders,2nd choice,Agronomy,daytime,Technological specialization course,120.0,Portuguese,Master's,Secondary Education,Intellectuals,Machine Operators,120.0,no,no,no,yes,male,no,21,no,0,6,9,5,13.4,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,148.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Services/Security/Sales,130.9,no,no,no,no,male,no,28,no,0,5,5,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,2nd choice,Agronomy,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Armed Forces,120.0,no,no,no,yes,male,no,58,no,0,6,9,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,135.0,Portuguese,Unknown,Unknown,Student,Student,134.1,yes,no,no,no,male,no,49,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,Over 23 years old,2nd choice,Informatics Engineering,daytime,Secondary education,150.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Technicians,Services/Security/Sales,120.0,no,no,no,yes,male,no,24,no,0,5,6,3,10.66666667,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled
single,Change of course,2nd choice,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Unknown,Unknown,Student,Student,114.8,no,no,no,yes,male,no,25,no,0,5,5,4,13.75,0,0,5,5,4,14.75,0,7.6,2.6,0.32,Graduate
divorced,Transfer,2nd choice,Management,daytime,Secondary education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Skilled Workers,Technicians,123.0,yes,no,no,yes,male,no,33,no,0,5,5,1,10.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
married,Over 23 years old,3rd choice,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,118.0,no,no,no,no,male,no,33,no,0,5,11,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
married,Change of course,2nd choice,Basic Education,daytime,Secondary education,110.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Skilled Workers,Skilled Workers,100.0,no,no,no,yes,male,no,40,no,0,2,4,1,16.0,0,0,4,5,4,15.5,0,13.9,-0.3,0.79,Graduate
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,170.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Technicians,151.1,no,no,no,yes,male,no,48,no,0,5,9,5,12.28571429,0,0,5,8,5,11.125,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,4th choice,Informatics Engineering,daytime,Secondary education,120.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Unskilled Workers,Technicians,116.9,yes,no,yes,no,male,no,18,no,0,5,10,3,12.0,0,0,5,8,3,10.33333333,0,8.9,1.4,3.51,Enrolled
single,Over 23 years old,2nd choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Machine Operators,106.0,yes,no,no,yes,male,no,24,no,0,7,7,6,12.66666667,1,0,7,7,6,12.66666667,1,7.6,2.6,0.32,Graduate
married,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,139.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Agri/fishery unskilled,Admin support,127.1,no,no,no,yes,male,yes,23,no,0,5,6,5,11.8,0,0,5,7,4,13.25,1,10.8,1.4,1.74,Graduate
single,Over 23 years old,2nd choice,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Skilled Workers,Services/Security/Sales,155.5,yes,no,yes,no,male,no,39,no,0,5,6,5,10.6,0,0,5,7,5,14.66666667,0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent ,2nd choice,Agronomy,daytime,Secondary education,133.1,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Unskilled Workers,Farmers,101.0,no,no,no,yes,male,no,21,no,5,11,16,9,11.9,0,3,9,14,8,12.25,0,15.5,2.8,-4.06,Graduate
single,Transfer,2nd choice,Informatics Engineering,daytime,Frequency of higher education,120.0,Portuguese,Can't read/write,Can't read/write,Farmers,Farmers,128.2,yes,no,no,yes,male,no,34,no,4,6,8,4,11.25,0,1,5,8,2,10.5,0,7.6,2.6,0.32,Dropout
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,100.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Administrative,Administrative,113.0,no,no,no,yes,male,yes,41,no,0,5,9,4,11.0,0,0,5,6,5,11.4,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,134.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Services/Security/Sales,122.8,no,no,no,yes,male,no,18,no,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
married,Over 23 years old,2nd choice,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Technicians,145.6,no,no,no,yes,male,no,34,no,0,5,10,4,11.75,0,0,5,10,4,10.83333333,0,13.9,-0.3,0.79,Enrolled
single,1st phase - general contingent ,2nd choice,Management,daytime,Secondary education,128.0,Portuguese,Secondary Education,Secondary Education,Intellectuals,Armed Forces,116.5,no,no,no,yes,male,no,19,no,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,154.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technicians,Technicians,142.0,no,no,no,yes,male,no,19,no,0,8,8,7,13.71428571,0,0,8,8,7,13.71428571,0,12.7,3.7,-1.7,Graduate
single,Holders of other higher courses,2nd choice,Agronomy,daytime,master's,150.0,Portuguese,Secondary Education,Secondary Education,Administrative,Farmers,150.0,no,no,no,yes,male,no,28,no,0,6,14,6,14.875,0,0,6,12,6,15.8,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,2nd choice,Communication Design,daytime,Secondary education,134.0,Portuguese,Secondary Education,Secondary Education,Services/Security/Sales,Student,133.3,yes,no,no,yes,male,no,18,no,0,6,7,5,10.8,1,0,6,6,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent ,2nd choice,Social Service,daytime,Secondary education,127.0,Portuguese,Bachelor's,Bachelor's,Technicians,Administrative,115.8,yes,no,no,yes,male,no,19,no,0,6,11,3,12.0,0,0,6,12,2,10.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,3rd choice,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Legislative/Executives,100.0,yes,no,yes,no,male,no,19,no,0,6,10,5,12.5,0,0,6,19,2,13.5,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,2nd choice,Nursing,daytime,Secondary education,130.0,Portuguese,Secondary Education,Degree,Unskilled Workers,Intellectuals,128.6,yes,no,no,yes,female,no,18,no,0,7,7,7,14.72857143,0,0,8,11,8,16.32727273,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent ,2nd choice,Equinculture,daytime,Secondary education,135.0,Portuguese,Degree,Degree,Intellectuals,Intellectuals,137.1,yes,no,no,yes,female,no,18,no,0,6,8,6,12.0,0,0,6,8,5,14.8,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent ,2nd choice,Journalism and Communication,daytime,Secondary education,143.0,Portuguese,Secondary Education,Degree,Technicians,Technicians,149.0,yes,no,no,yes,female,no,18,no,0,6,8,6,11.42857143,0,0,6,7,6,11.0,0,11.1,0.6,2.02,Dropout
single,Technological specialization diploma holders,3rd choice,Social Service,daytime,Technological specialization course,150.0,Portuguese,Degree,Basic Ed 3rd Cycle,Administrative,Unskilled Workers,147.0,yes,no,no,yes,female,no,19,no,3,6,6,6,14.16666667,0,2,6,6,6,13.5,0,12.4,0.5,1.79,Graduate
married,Holders of other higher courses,2nd choice,Social Service,daytime,degree,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Cleaners,Agri/fishery unskilled,150.0,no,no,no,yes,female,no,31,no,1,6,12,5,12.5,0,0,6,10,5,14.6,0,12.7,3.7,-1.7,Graduate
single,Over 23 years old,2nd choice,Social Service (evening attendance),evening,Secondary education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Machine Operators,103.5,no,no,no,yes,female,yes,33,no,0,6,6,6,14.16666667,0,0,6,6,6,14.33333333,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,4th choice,Nursing,daytime,Secondary education,113.0,Portuguese,Degree,Secondary Education,Legal/social/sports techs,ICT techs,107.8,yes,no,no,yes,female,yes,20,no,0,7,10,5,14.46,0,0,7,8,6,13.55,0,12.4,0.5,1.79,Enrolled
single,Technological specialization diploma holders,2nd choice,Veterinary Nursing,daytime,Technological specialization course,130.0,Spanish,Basic Ed 3rd Cycle,Secondary Education,Farmers,Administrative,130.0,yes,no,no,yes,female,no,22,yes,0,6,12,5,12.8,0,0,6,19,2,11.5,0,12.4,0.5,1.79,Enrolled
single,2nd phase - general contingent,2nd choice,Tourism ,daytime,Secondary education,115.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Technicians,Technicians,109.4,yes,no,no,yes,female,no,19,no,0,6,8,6,12.66666667,0,0,6,8,5,13.4,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,4th choice,Communication Design,daytime,Secondary education,146.0,Portuguese,Unknown,Unknown,Student,Student,143.6,yes,no,no,yes,female,no,18,no,0,6,6,6,12.5,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,4th choice,Communication Design,daytime,Secondary education,132.0,Portuguese,Basic Ed 2nd Cycle,Secondary Education,Services/Security/Sales,Services/Security/Sales,124.3,no,yes,no,yes,female,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent ,6th choice,Advertising and Marketing Management,daytime,Secondary education,116.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,119.5,yes,no,no,no,female,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent ,2nd choice,Animation and Multimedia Design,daytime,Secondary education,163.0,Portuguese,Degree,Master's,Intellectuals,Services/Security/Sales,175.6,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,3rd choice,Management,daytime,Secondary education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Skilled Workers,Skilled Workers,116.1,yes,no,no,yes,female,yes,19,no,0,5,8,5,11.2,0,0,5,5,3,11.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,3rd choice,Social Service,daytime,Secondary education,136.0,Portuguese,Secondary Education,Degree,Technicians,Administrative,126.6,yes,no,no,yes,female,no,18,no,0,6,6,6,16.5,0,0,6,7,6,17.42857143,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,2nd choice,Veterinary Nursing,daytime,Secondary education,142.0,Portuguese,Degree,Basic Ed 3rd Cycle,Services/Security/Sales,Services/Security/Sales,130.8,yes,no,no,yes,female,no,18,no,0,5,9,3,13.66666667,1,0,5,5,5,12.0,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,7th choice,Nursing,daytime,Secondary education,139.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Farmers,133.5,yes,no,no,yes,female,yes,18,no,0,8,8,7,15.22857143,0,0,8,8,7,15.22857143,0,12.7,3.7,-1.7,Graduate
single,Short cycle diploma holders,2nd choice,Social Service,daytime,Professional higher technical course,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled Workers,Armed Forces,136.9,yes,no,no,yes,female,no,21,no,5,9,10,9,12.77777778,0,4,9,9,9,13.22222222,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent ,2nd choice,Nursing,daytime,Secondary education,165.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Services/Security/Sales,Services/Security/Sales,142.3,no,no,no,yes,female,yes,18,no,0,8,8,7,14.42857143,0,0,8,8,7,14.42857143,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,4th choice,Advertising and Marketing Management,daytime,Secondary education,122.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Technicians,Technicians,114.3,yes,no,no,yes,female,no,18,no,0,6,8,6,13.875,0,0,6,7,6,13.71428571,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent ,3rd choice,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Armed Forces,122.9,yes,no,no,yes,female,no,18,no,0,7,10,7,13.128,0,0,8,13,6,13.19333333,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,2nd choice,Nursing,daytime,Secondary education,128.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Administrative,Technicians,117.2,yes,no,no,yes,female,no,20,no,0,7,9,6,11.605,0,0,8,10,7,12.4125,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,2nd choice,Management,daytime,Secondary education,139.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Services/Security/Sales,152.0,no,no,no,yes,female,yes,18,no,0,5,5,5,14.6,0,0,5,8,5,12.0,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,3rd choice,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Administrative,Services/Security/Sales,122.2,yes,no,no,yes,female,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,3rd phase - general contingent ,3rd choice,Management,daytime,Secondary education,102.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Cleaners,Finance/statistics/registry ops,101.7,yes,no,no,yes,female,yes,20,no,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,2nd choice,Tourism ,daytime,Secondary education,116.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Machine Operators,119.9,yes,no,no,yes,female,no,20,no,0,6,6,6,12.33333333,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,2nd choice,Management,daytime,Secondary education,138.0,Portuguese,Basic Ed 1st Cycle,Secondary Education,Unskilled Workers,Unskilled Workers,123.7,yes,no,yes,yes,female,yes,19,no,0,5,5,4,11.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
single,Change of institution/course,2nd choice,Communication Design,daytime,Secondary education,135.0,Portuguese,Degree,Secondary Education,Technicians,Services/Security/Sales,121.8,no,no,no,yes,female,yes,19,no,5,11,11,11,13.18181818,0,5,11,11,11,12.90909091,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,5th choice,Advertising and Marketing Management,daytime,Secondary education,110.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unknown,106.1,yes,yes,yes,no,female,yes,18,no,0,6,6,1,11.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,4th choice,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Secondary Education,Secondary Education,Administrative,Unskilled Workers,124.3,yes,no,yes,yes,female,yes,19,no,0,6,6,6,11.83333333,0,0,6,7,6,12.28571429,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent ,3rd choice,Nursing,daytime,Secondary education,126.0,Portuguese,Secondary Education,Basic Ed 2nd Cycle,Administrative,Skilled Workers,124.3,yes,no,no,yes,female,yes,20,no,0,8,8,8,12.98125,0,0,8,8,8,12.98125,0,9.4,-0.8,-3.12,Graduate
single,Technological specialization diploma holders,2nd choice,Management,daytime,Technological specialization course,117.4,Portuguese,Basic Ed 3rd Cycle,Secondary Education,Administrative,Unskilled Workers,117.4,yes,no,no,yes,female,no,21,no,4,7,10,6,11.33333333,0,1,5,6,5,11.2,0,11.1,0.6,2.02,Graduate
single,Change of course,3rd choice,Nursing,daytime,Secondary education,120.0,Portuguese,Specialized higher,Degree,Intellectuals,Intellectuals,112.7,no,no,no,yes,female,no,21,no,0,8,12,6,11.68,0,0,8,12,6,11.68,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2nd choice,Communication Design,daytime,Secondary education,116.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled Workers,Unskilled Workers,123.7,no,no,no,yes,female,no,20,no,0,6,6,6,14.5,0,0,6,7,6,13.5,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent ,3rd choice,Basic Education,daytime,Secondary education,111.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Cleaners,Construction workers,105.8,yes,no,no,yes,female,no,19,no,0,7,7,7,13.14285714,0,0,7,8,7,12.85714286,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,4th choice,Veterinary Nursing,daytime,Secondary education,128.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Other,124.2,no,no,no,no,female,no,21,no,0,5,8,2,11.5,0,0,5,7,2,10.5,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent ,2nd choice,Veterinary Nursing,daytime,Secondary education,123.0,Portuguese,8th,Basic Ed 3rd Cycle,Administrative,Other,122.3,no,no,no,yes,female,no,18,no,0,5,6,5,14.2,0,0,5,7,5,11.8,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent ,6th choice,Tourism ,daytime,Secondary education,131.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled Workers,Unskilled Workers,123.7,no,no,no,yes,female,yes,19,no,0,6,8,5,11.66666667,0,0,6,7,5,12.2,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,3rd choice,Nursing,daytime,Secondary education,135.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled Workers,Administrative,129.8,yes,no,no,yes,female,no,18,no,0,7,8,7,13.175,0,0,8,8,8,14.875,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent ,5th choice,Nursing,daytime,Secondary education,136.0,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,123.8,yes,no,no,yes,female,yes,19,no,0,8,8,7,13.31428571,0,0,8,8,7,13.31428571,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent ,3rd choice,Management,daytime,Secondary education,132.0,Portuguese,Secondary Education,Basic Ed 3rd Cycle,Administrative,Technicians,126.4,yes,no,no,yes,female,yes,18,no,0,5,13,3,10.6,0,0,5,12,3,10.5,0,13.9,-0.3,0.79,Graduate
